"","first_last_court","first.name","last.name","first_last_court_eval.year","eval.year","court","pap","gender","asian","black","hispanic","white","judjis_score"
"247","Susan Black (11)","Susan","Black","Susan Black (11) 2001",2001,"Eleventh Circuit",0,0,0,0,0,1,0.333333333333333
"250","Susan Black (11)","Susan","Black","Susan Black (11) 2004",2004,"Eleventh Circuit",0,0,0,0,0,1,0.407407407407407
"254","Susan Black (11)","Susan","Black","Susan Black (11) 2007",2007,"Eleventh Circuit",0,0,0,0,0,1,0.0634920634761905
"259","Susan Black (11)","Susan","Black","Susan Black (11) 2012",2012,"Eleventh Circuit",0,0,0,0,0,1,0.0909090909090909
"263","Susan Black (11)","Susan","Black","Susan Black (11) 2015",2015,"Eleventh Circuit",0,0,0,0,0,1,0
"269","Susan Black (11)","Susan","Black","Susan Black (11) 2017",2017,"Eleventh Circuit",0,0,0,0,0,1,-0.111111111111111
"1619","Danny Boggs (6)","Danny","Boggs","Danny Boggs (6) 1990",1990,"Sixth Circuit",1,1,0,0,0,1,0.166666666666667
"1633","Danny Boggs (6)","Danny","Boggs","Danny Boggs (6) 1995",1995,"Sixth Circuit",1,1,0,0,0,1,0.634920634904762
"1647","Danny Boggs (6)","Danny","Boggs","Danny Boggs (6) 1999",1999,"Sixth Circuit",1,1,0,0,0,1,0.444444444444444
"1656","Danny Boggs (6)","Danny","Boggs","Danny Boggs (6) 2002",2002,"Sixth Circuit",1,1,0,0,0,1,0.703703703703704
"1664","Danny Boggs (6)","Danny","Boggs","Danny Boggs (6) 2006",2006,"Sixth Circuit",1,1,0,0,0,1,0.523809523809524
"1672","Danny Boggs (6)","Danny","Boggs","Danny Boggs (6) 2010",2010,"Sixth Circuit",1,1,0,0,0,1,0.285714285714286
"1682","Danny Boggs (6)","Danny","Boggs","Danny Boggs (6) 2013",2013,"Sixth Circuit",1,1,0,0,0,1,0.479166666666667
"1691","Danny Boggs (6)","Danny","Boggs","Danny Boggs (6) 2017",2017,"Sixth Circuit",1,1,0,0,0,1,0.527777777777778
"703","Robert Boochever (9)","Robert","Boochever","Robert Boochever (9) 1990",1990,"Ninth Circuit",0,1,0,0,0,1,0
"710","Robert Boochever (9)","Robert","Boochever","Robert Boochever (9) 1994",1994,"Ninth Circuit",0,1,0,0,0,1,-0.25
"719","Robert Boochever (9)","Robert","Boochever","Robert Boochever (9) 1998",1998,"Ninth Circuit",0,1,0,0,0,1,-0.345679012333333
"729","Robert Boochever (9)","Robert","Boochever","Robert Boochever (9) 2001",2001,"Ninth Circuit",0,1,0,0,0,1,-0.5
"747","Robert Boochever (9)","Robert","Boochever","Robert Boochever (9) 2005",2005,"Ninth Circuit",0,1,0,0,0,1,-0.420833333333333
"761","Robert Boochever (9)","Robert","Boochever","Robert Boochever (9) 2009",2009,"Ninth Circuit",0,1,0,0,0,1,-0.230158730142857
"1267","Michael Boudin (1)","Michael","Boudin","Michael Boudin (1) 1996",1996,"First Circuit",1,1,0,0,0,1,0.5
"1276","Michael Boudin (1)","Michael","Boudin","Michael Boudin (1) 2000",2000,"First Circuit",1,1,0,0,0,1,0.396825396809524
"1281","Michael Boudin (1)","Michael","Boudin","Michael Boudin (1) 2003",2003,"First Circuit",1,1,0,0,0,1,0.314814814833333
"1287","Michael Boudin (1)","Michael","Boudin","Michael Boudin (1) 2006",2006,"First Circuit",1,1,0,0,0,1,0.333333333333333
"1292","Michael Boudin (1)","Michael","Boudin","Michael Boudin (1) 2009",2009,"First Circuit",1,1,0,0,0,1,0.333333333333333
"1298","Michael Boudin (1)","Michael","Boudin","Michael Boudin (1) 2010",2010,"First Circuit",1,1,0,0,0,1,0.0952380952380952
"1302","Michael Boudin (1)","Michael","Boudin","Michael Boudin (1) 2012",2012,"First Circuit",1,1,0,0,0,1,0.421296296277778
"1306","Michael Boudin (1)","Michael","Boudin","Michael Boudin (1) 2016",2016,"First Circuit",1,1,0,0,0,1,0.266666666666667
"971","Pasco Bowman, II (8)","Pasco","Bowman, II","Pasco Bowman, II (8) 1990",1990,"Eighth Circuit",1,1,0,0,0,1,0.777777777777778
"975","Pasco Bowman, II (8)","Pasco","Bowman, II","Pasco Bowman, II (8) 1992",1992,"Eighth Circuit",1,1,0,0,0,1,0.777777777777778
"983","Pasco Bowman, II (8)","Pasco","Bowman, II","Pasco Bowman, II (8) 1993",1993,"Eighth Circuit",1,1,0,0,0,1,0.666666666666667
"995","Pasco Bowman, II (8)","Pasco","Bowman, II","Pasco Bowman, II (8) 1997",1997,"Eighth Circuit",1,1,0,0,0,1,0.733333333333333
"1008","Pasco Bowman, II (8)","Pasco","Bowman, II","Pasco Bowman, II (8) 2001",2001,"Eighth Circuit",1,1,0,0,0,1,0.513888888875
"1022","Pasco Bowman, II (8)","Pasco","Bowman, II","Pasco Bowman, II (8) 2005",2005,"Eighth Circuit",1,1,0,0,0,1,0.525252525242424
